"shk_id","employee_id","place_code","dt","state_id"
268474292,211112,918452425,2023-04-10 18:51:50,UND
268474292,783185,925610404,2023-04-16 03:28:29.443000000,WPU
268474292,147720,922963797,2023-04-16 07:59:27,WSF
268474292,535563,912644223,2023-06-17 14:44:21,ASI
268474292,571209,920215906,2023-06-17 15:46:01,SPS
268474292,369310,919643573,2023-06-17 21:40:53,SMC
284750872,663690,905344907,2023-10-15 00:43:21,SPM
284750872,301855,913611290,2023-10-15 01:38:41,WLT
268474292,1312513,935064301,2024-05-27 03:42:42.667000000,WPU
268474292,1054972,914806180,2024-05-28 08:48:44,WLR
276549772,92760,912737719,2024-05-27 16:41:33.559000000,ASI
276549772,60339,919204990,2024-05-27 21:55:15.769000000,SPS
276549772,975953,919204704,2024-05-27 23:02:55.994000000,SMC
276549772,958782,929355925,2024-05-29 01:24:53.003000000,SPS
276549772,827397,931884488,2024-05-29 03:25:52,SMS
276549772,211112,927094982,2024-05-29 17:20:05.372000000,ORG
276549772,211112,0,2024-05-29 20:07:15.662000000,ORS
276549772,211112,927094982,2024-05-30 11:09:20.894000000,OPS
268474292,1105593,935002538,2024-02-17 19:03:06,WLN
268474292,651064,902539318,2023-02-16 20:33:57,WLN
268474292,657654,902539319,2022-10-25 21:32:57,WLN
268474292,637544,911104210,2023-04-20 04:18:43,WLT
276549772,1382640,943790371,2024-06-25 15:14:24.082000000,SPS
276549772,1267179,912194502,2024-06-25 17:07:30,SMS
276549772,211112,927097221,2024-06-26 04:49:52.984000000,ORG
276549772,211112,0,2024-06-28 16:37:38.045000000,ORS
268474292,886811,924112857,2023-12-21 23:32:28.625000000,ASI
268474292,728595,946245092,2023-12-22 00:15:44.186000000,SPS
268474292,1155627,944958618,2023-12-22 02:21:11.700000000,SMC
268474292,1001132,940104009,2023-12-23 08:10:30.814000000,SPS
268474292,223149,911086081,2023-12-23 08:57:15,SMS
268474292,1232848,929562698,2023-12-23 13:05:47.495000000,ORG
268474292,1232848,929562698,2023-12-23 20:22:57.662000000,OPS
268474292,564552,935083180,2023-06-19 02:34:04,SPS
268474292,854540,935037586,2023-06-19 03:41:31,SMS
268474292,10040306,927080421,2023-06-19 13:07:29,ORG
268474292,10041608,927080421,2023-06-24 16:35:11,OPS
268474292,222695,915665279,2023-09-25 23:15:39,WLN
268474292,917687,915665279,2023-10-28 12:42:18,WLN
268474292,126190,902539320,2022-09-13 13:21:44,WLN
268474292,1056984,934087107,2023-12-25 12:01:28.033000000,WPU
268474292,1017709,935002538,2023-12-25 13:57:09,WLR
268474292,625852,912509448,2023-03-10 19:27:21,ASI
268474292,625852,912509448,2023-03-10 19:29:18,ASI
268474292,277140,918998990,2023-03-10 20:03:34,SPS
268474292,527824,918998985,2023-03-10 21:22:03,SMC
268474292,581483,935064322,2023-06-26 11:07:50.543000000,WPU
268474292,880721,915665279,2023-06-29 09:40:14,WLR
276549772,1261758,942479612,2024-06-03 12:15:44.956000000,WPU
276549772,796625,930753403,2024-06-07 08:31:51,WLR
268474292,1337465,927095855,2024-06-18 18:35:17.135000000,OPS
268474292,107196,924112857,2024-06-10 18:09:18.740000000,ASI
268474292,864276,944947431,2024-06-10 18:53:05.976000000,SPS
268474292,897546,943966201,2024-06-10 22:50:48.221000000,SMC
268474292,1089971,936028056,2024-06-11 22:18:44.598000000,SPS
268474292,706923,912205354,2024-06-12 01:14:00,SMS
268474292,985567,927095855,2024-06-12 09:55:03.917000000,ORG
268474292,985567,927095855,2024-06-12 20:25:23.340000000,ORG
268474292,598636,952060457,2024-05-22 19:43:35,APC
268474292,598636,952060457,2024-05-22 19:45:04.764000000,ASI
268474292,616248,922740487,2024-05-22 22:21:10.548000000,SPS
268474292,973654,945513232,2024-05-23 00:13:58.084000000,SMC
268474292,851312,935083180,2024-05-24 07:21:13.823000000,SPS
268474292,932036,935037585,2024-05-24 08:01:36,SMS
268474292,10049823,929517542,2024-05-24 14:17:12.819000000,ORG
268474292,10049823,929517542,2024-05-24 15:17:07.760000000,OPS
268474292,1349339,950133052,2024-06-20 19:26:41.867000000,WPU
276549772,1020476,940783565,2024-06-21 16:58:21.935000000,ASI
276549772,1217947,934531197,2024-06-21 18:22:48.151000000,SPS
268474292,156098,942967857,2024-06-21 22:43:00,WLR
276549772,858449,924734306,2024-06-21 22:11:43.554000000,SMC
284750872,218516,913611289,2024-06-21 20:07:08,WLN
268474292,515583,902539318,2022-12-02 11:44:01,WLN
284750872,1054268,913611290,2024-01-24 12:20:09,WLN
268474292,674532,913465431,2023-03-14 02:17:59,WSF
268474292,831583,927357952,2023-03-14 19:52:10,SPS
268474292,783604,927059505,2023-03-14 20:07:23,SMS
268474292,783288,926984044,2023-03-14 23:02:16,WSF
268474292,254523,911939752,2023-03-15 08:40:28,FOS
268474292,254523,911939753,2023-03-18 12:01:57,FRS
268474292,1088426,915665279,2023-11-29 19:53:35,WLN
268474292,678958,915665279,2023-08-13 02:08:13,WLN
268474292,630459,926157168,2023-03-31 08:50:26,ASI
268474292,620279,923850706,2023-03-31 10:17:57,SPS
268474292,152980,922733264,2023-03-31 13:00:48,SMC
268474292,318807,931764569,2023-04-01 09:46:03,SPS
268474292,685510,911282983,2023-04-01 09:53:04,SMS
268474292,2542,0,2023-04-02 08:24:17,""
268474292,211112,929272109,2023-04-02 11:00:28,UND
284750872,1134663,913611290,2023-11-13 09:41:17,WLN
268474292,858528,911642728,2023-04-04 01:44:50.365000000,WPU
268474292,327976,922503077,2023-04-07 05:48:04,WLR
268474292,321410,912644260,2023-04-07 09:34:29,ASI
268474292,243696,919615593,2023-04-07 10:43:15,SPS
268474292,856770,919643770,2023-04-07 12:20:25,SMC
268474292,875414,924149708,2023-04-07 22:37:24,SPS
268474292,812610,924107629,2023-04-07 23:29:16,SMS
268474292,2542,0,2023-04-08 09:23:09,""
268474292,685667,928253561,2023-03-21 04:38:42.383000000,WPU
268474292,186383,926984044,2023-03-21 11:46:44,WPU
268474292,186383,926984044,2023-03-21 11:48:42,WPU
268474292,855673,929849775,2023-03-22 12:57:12,WLR
21128987929,706349,950591181,2024-06-20 09:27:14.277000000,SMC
21128987929,897054,945627199,2024-06-21 18:54:40.383000000,TMM
21128987929,908475,945980967,2024-06-22 04:17:06.122000000,SMC
21128987929,1475834,935221211,2024-06-23 01:10:34.774000000,SPS
21128987929,1283419,939005246,2024-06-23 01:55:56,SMS
21128987929,1055033,927090326,2024-06-23 09:29:25.199000000,ORG
21128987929,1055033,0,2024-07-02 11:32:41,ORU
21128987929,1179386,950322516,2024-06-20 09:11:12.819000000,SPS
21128987929,706349,950591181,2024-06-20 09:27:14.277000000,SMC
21128987929,830357,926998642,2024-06-05 15:28:23.801000000,SPS
21128987929,1166823,927125614,2024-06-06 03:39:41.116000000,SMC
21128987929,973197,951226344,2024-06-08 08:08:47.477000000,SPS
21128987929,895783,926721826,2024-06-08 09:01:37,SMS
21128987929,564237,927081688,2024-06-08 14:04:48.768000000,ORG
21128987929,564237,927081688,2024-06-08 19:30:52.771000000,OPS
